label	ageclass	gender	species	min	max
Infant	1		3	0	0.5
Juvenile	2		3	0.5	5
Adult	3		3	5	21
Senior	4		3	21

Infant	1		4	0	0.5
Juvenile	2		4	0.5	5
Adult	3		4	5	21
Senior	4		4	21

Infant	1		5	0	0.5
Juvenile	2		5	0.5	5
Adult	3		5	5	21
Senior	4		5	21

Infant	1		18	0	0.25
Juvenile	2		18	0.25	1.5
Adult	3		18	1.5	8
Senior	4		18	8

Infant	1		10	0	1
Juvenile	2	1	10	1	4
Juvenile	2	2	10	1	4
Juvenile	2	3	10	1	5
Adult	3	1	10	4	18
Adult	3	2	10	4	18
Adult	3	3	10	5	18
Senior	4		10	18

Infant	1		13	0	1
Juvenile	2	1	13	1	4
Juvenile	2	2	13	1	4
Juvenile	2	3	13	1	5
Adult	3	1	13	4	18
Adult	3	2	13	4	18
Adult	3	3	13	5	18
Senior	4		13	18

Infant	1		2	0	1
Juvenile	2	1	2	1	4
Juvenile	2	2	2	1	4
Juvenile	2	3	2	1	5
Adult	3	1	2	4	18
Adult	3	2	2	4	18
Adult	3	3	2	5	18
Senior	4		2	18

Infant	1		7	0	1
Juvenile	2	1	7	1	4
Juvenile	2	2	7	1	4
Juvenile	2	3	7	1	5
Adult	3	1	7	4	18
Adult	3	2	7	4	18
Adult	3	3	7	5	18
Senior	4		7	18

Infant	1		9	0	1
Juvenile	2	1	9	1	4
Juvenile	2	2	9	1	4
Juvenile	2	3	9	1	5
Adult	3	1	9	4	18
Adult	3	2	9	4	18
Adult	3	3	9	5	18
Senior	4		9	18

Infant	1		6	0	5
Juvenile	2		6	5	7
Adult	3		6	7	34
Senior	4		6	34

Infant	1		12	0	1
Juvenile	2		12	1	3
Adult	3		12	3

Infant	1		19	0	0.25
Juvenile	2		19	0.25	1.5
Adult	3		19	1.5	8
Senior	4		19	8
