value	title	description
1	1500	Labor
2	1998	Fringe
3	1999	Overhead
4	2000	Animals
5	2005	Feed
6	2006	Nutritional Supplements
7	2020	Animal Bedding
8	2021	Apparel
9	2022	Colony Supplies
10	2023	Clinical Supplies
11	2024	Laboratory Supplies
12	2025	Contract Laboratory
13	2026	Protective Disposables
14	2029	Other Operating Supplies
15	2040	Equipment Repair/Prototype
16	2041	Facilities/Safety Modifications
17	2042	Operating Services
18	2043	Utilities
19	2044	Professional Services
20	2050	Rentals
21	2060	Shipping/Receiving Animals
22	2061	Mail/Express
23	2065	Meetings
24	2066	Other Travel Expenses
25	2080	Office Supplies
26	2081	Computer Supplies
27	2082	Educational Materials/Memberships
28	2083	Medical Illustrations
29	2090	Telephone
30	4000	Fixed Equippment
31	9999	Fee
