code	meaning
1	Adv Bioscience Labs
2	Baylor Research Inst
3	CDC
4	Chiron Corp
5	Covance Research Prod
6	Ctr Captive Chimp Care
7	Duke Univ Medical Ctr
8	Emory University YPRC
9	John Hopkins University
10	Mannheimer Foundation
11	Merck & Co (Rahway)
12	Merck Research Labs WP
13	New England NPRC
14	NIAID (Bioqual)
15	NIAID NIH Animal Ctr
16	NINDS NIH Animal Ctr
17	Oregon NPRC
18	Primedica Labs
19	Sierra Biomedical
20	Stanford Univ School Med
21	Tulane NPC (Covington)
22	Tulane Univ Medical Ctr
23	Univ Alabama Birmingham
24	Univ Tex MD Anderson CC
25	WRAIR
26	Wyeth-Ayerst Rsrch (PR)
27	LSU Health Science BR
28	LSU Health Science Shv
29	LSU Health Science NO
30	Yale Univ Sch Medicine
31	SW Found Biomed Rsrch
32	NIH Animal Center
33	Siconbrec Inc
34	NYU School of Medicine
35	Yerkes Regional PRC
36	Chimp Haven
37	Three Springs Scientific
38	NIH
39	Lovelace Biomedical
40	Univ of Washington NPRC
41	Charles River Laboratory
42	Barton West End Farm
43	Johns Hopkins University
44	Buckshire Corporation
45	Mass. General Hospital
46	Harvard Medical School
47	Boehringer Ingelheim
48	USAMRIID
49	Save the Chimps
50	Novartis Vaccines Srl
51	Battelle Memorial Inst
52	Univ of Pittsburgh
53	Univ of Kansas Med Ctr
54	Virginia Commonwealth U
55	Primate Products
56	LRRI
57	SNBL-SRC
58	Rocky Mountain Lab
59	RainForest Adventures
60	St. Jude Childrens Rsrch
61	Stony Brook University
62	Univ of Maryland
63	Primgen CSP
64	CiToxLab North America
65	Nationwide Children's
66	Novartis Pharm. Corp.
67	DHMRI
68	Worldwide Primates, Inc
69	SUNY Downstate Medical
70	CBNC
71	Univ of Texas at Austin
72	Charles River/Reno
73	Pfizer-Pearl River
74	New York University
75	Bioculture US LLC
76	Durham Research Center
77	WakeForest School of Med
78	Boston University
79	Univ of Nebraska Med Ctr
80	Texas Biomed
81	USAMRICD
82	Univ of Illinois
83	Univ of Wisconsin
84	WaNPRC
85	LC Preclinical Research
86	Batatelle Memorial Inst
87	Univ Alabama Brimingham
88	NICHD/NIH
89	 Alpha Genesis, Inc.
90	China/Guangxi GF Sci Pri
91	Alamogordo PrimateFaclty
92	Indonesia (Pt. W. Sat)
93	NIAID Morgan Island
94	MD Anderson Cancer Ctr.
95	Hainan, China
96	Cynologics Ltd
97	Guangdong Landau Biotech
98	St. Kitts
99	Republic of Mauritius
100	Caribbean Primate Rsrch
101	Worldwide Primates, Inc.
102	Pfizer-Andover
103	BIOCULTURE (MTIUS) LTD
104	SRI International
105	Envigo Global Services
106	Pfizer
107	CR Rsrch Models Houston
108	BIOQUAL, Inc.
109	Merck & Co (WP)
110	PrimGen
111	PreLabs
