value	title	description
1	Andover MA	4
2	Pearl River NY	4
3	Alice TX	4
4	West Point PA	4
5	Bethesda MD	4
6	Bastrop TX	4
7	San Antonio TX	4
8	Homestead FL	4
9	Atlanta GA	4
10	Emeryville CA	4
11	Waltham MA	4
12	Columbus OH	4
13	Italy	2
14	Dickerson MD	4
15	Bethesda MD	4
16	Basseterre	1
17	Yemassee SC	4
18	Bethesda MD	4
19	Makati City	5
20	UL Lafayette - NIRC	4
21	NIRC
22	Columbus	4
23	New York	4
24	Yemassee	4
25	Three Springs Scientific	4
26	Sierra Biomedical	4
27	NIH	4
28	Lovelace Biomedical	4
29	University of Washington NPRC	4
30	"China/Guangxi Grand Forest Sci Primate "	4
31	Charles River Laboratory	4
33	Alamogordo Primate Facility	4
34	Yale Univ Sch Medicine	4
36	Cornell University Medical College	4
37	Tulane NPC (Covington)	4
38	CDC	4
39	Covance, China	4
42	St. Helena, SC	4
44	MD Anderson Cancer Center	4
45	University of Kentucky	4
46	Wake Forest School of Medicine	4
47	Hainan	7
48	Cynologics Ltd	8
49	Guangdong	7
51	Mattawan, MI	4
52	Phnom Penh	6
